ID,nurseID,nobs
328,306,41
329,306,41
327,306,41
335,306,41
333,306,41
332,306,41
332,306,41
338,306,41
331,306,41
330,306,41
339,306,41
345,304,15
342,304,15
346,304,15
348,304,15
347,304,15
341,304,15
343,304,15
340,304,15
344,304,15
349,301,15
349,301,15
359,301,15
355,301,15
358,301,15
354,301,15
352,301,15
357,301,15
360,301,15
350,301,15
350,301,15
356,301,15
353,301,15
369,504,14
363,504,14
367,504,14
361,504,14
368,504,14
371,504,14
371,504,14
364,504,14
364,504,14
365,504,14
370,504,14
372,504,14
362,504,14
366,504,14
380,503,56
380,503,56
379,503,56
381,503,56
377,503,56
375,503,56
376,503,56
387,503,56
374,503,56
373,503,56
383,503,56
386,503,56
388,503,56
382,503,56
384,503,56
385,503,56
378,503,56
398,505,14
396,505,14
391,505,14
394,505,14
401,505,14
400,505,14
400,505,14
393,505,14
390,505,14
399,505,14
392,505,14
395,505,14
389,505,14
397,505,14
410,204,93
405,204,93
402,204,93
407,204,93
411,204,93
409,204,93
408,204,93
406,204,93
404,204,93
403,204,93
413,204,93
412,204,93
419,104,28
417,104,28
418,104,28
421,104,28
420,104,28
415,104,28
416,104,28
414,104,28
422,104,28
423,702,54
426,702,54
429,702,54
428,702,54
433,702,54
425,702,54
427,702,54
430,702,54
432,702,54
424,702,54
431,702,54
434,702,54
351,301,15
351,301,15
440,702,54
440,702,54
438,702,54
441,702,54
439,702,54
435,702,54
436,702,54
437,702,54
443,702,54
4,702,54
442,702,54
3,702,54
7,702,54
455,604,30
451,604,30
451,604,30
449,604,30
449,604,30
454,604,30
454,604,30
448,604,30
448,604,30
445,703,5
445,703,5
444,703,5
444,703,5
453,604,30
447,604,30
446,703,5
450,604,30
452,604,30
462,306,41
462,306,41
456,306,41
457,306,41
467,306,41
458,306,41
464,306,41
464,306,41
460,306,41
460,306,41
465,306,41
461,306,41
459,306,41
466,306,41
463,306,41
541,804,59
773,804,59
542,804,59
542,804,59
774,804,59
774,804,59
543,804,59
775,804,59
474,401,103
706,401,103
539,401,103
771,401,103
473,401,103
705,401,103
534,508,49
766,508,49
533,508,49
533,508,49
765,508,49
765,508,49
535,508,49
767,508,49
540,501,14
772,501,14
538,502,26
770,502,26
537,503,56
769,503,56
536,503,56
768,503,56
475,804,59
707,804,59
470,804,59
702,804,59
468,804,59
700,804,59
477,802,33
709,802,33
476,802,33
708,802,33
471,802,33
703,802,33
480,204,93
712,204,93
478,204,93
710,204,93
479,204,93
711,204,93
469,804,59
701,804,59
482,204,93
714,204,93
472,204,93
704,204,93
481,204,93
713,204,93
483,204,93
715,204,93
485,606,35
717,606,35
484,606,35
716,606,35
486,606,35
718,606,35
98,401,103
489,705,21
721,705,21
488,705,21
720,705,21
487,705,21
719,705,21
491,305,26
723,305,26
492,305,26
724,305,26
490,305,26
722,305,26
493,506,7
725,506,7
495,506,7
727,506,7
494,506,7
726,506,7
514,401,103
746,401,103
497,401,103
729,401,103
496,401,103
728,401,103
498,804,59
730,804,59
499,804,59
731,804,59
500,804,59
732,804,59
502,804,59
502,804,59
734,804,59
734,804,59
503,804,59
503,804,59
735,804,59
735,804,59
501,804,59
733,804,59
580,305,26
812,305,26
506,804,59
738,804,59
504,204,93
736,204,93
505,204,93
505,204,93
737,204,93
737,204,93
508,203,41
508,203,41
740,203,41
740,203,41
507,203,41
739,203,41
509,203,41
741,203,41
511,503,56
511,503,56
743,503,56
743,503,56
510,503,56
742,503,56
513,503,56
513,503,56
745,503,56
745,503,56
512,503,56
512,503,56
744,503,56
744,503,56
517,102,20
749,102,20
515,102,20
747,102,20
516,102,20
748,102,20
529,102,20
529,102,20
761,102,20
761,102,20
519,102,20
751,102,20
518,102,20
750,102,20
528,606,35
760,606,35
520,606,35
752,606,35
521,606,35
753,606,35
522,603,20
754,603,20
523,603,20
755,603,20
524,603,20
756,603,20
526,704,46
526,704,46
758,704,46
758,704,46
525,704,46
757,704,46
527,704,46
527,704,46
759,704,46
759,704,46
690,501,14
692,501,14
691,501,14
691,501,14
693,606,35
693,606,35
695,606,35
694,606,35
696,606,35
697,606,35
698,606,35
660,704,46
699,704,46
663,704,46
662,704,46
664,704,46
661,704,46
667,102,20
665,102,20
666,102,20
668,102,20
670,102,20
669,102,20
671,401,103
672,401,103
673,401,103
676,401,103
676,401,103
675,401,103
674,401,103
677,201,37
677,201,37
677,201,37
679,201,37
678,201,37
680,201,37
682,201,37
681,201,37
684,305,26
683,305,26
686,305,26
685,305,26
689,804,59
688,804,59
687,804,59
579,305,26
579,305,26
811,305,26
811,305,26
578,305,26
810,305,26
582,508,49
582,508,49
814,508,49
814,508,49
581,508,49
581,508,49
813,508,49
813,508,49
583,508,49
815,508,49
584,503,56
816,503,56
585,503,56
817,503,56
586,503,56
586,503,56
818,503,56
818,503,56
588,704,46
820,704,46
589,704,46
821,704,46
587,704,46
819,704,46
592,704,46
824,704,46
591,704,46
823,704,46
590,704,46
822,704,46
567,203,41
567,203,41
567,203,41
799,203,41
799,203,41
799,203,41
566,203,41
798,203,41
575,803,22
575,803,22
807,803,22
807,803,22
565,203,41
565,203,41
797,203,41
797,203,41
570,201,37
570,201,37
802,201,37
802,201,37
569,201,37
569,201,37
801,201,37
801,201,37
568,201,37
568,201,37
800,201,37
800,201,37
572,201,37
572,201,37
804,201,37
804,201,37
571,201,37
803,201,37
573,201,37
805,201,37
531,803,22
531,803,22
763,803,22
763,803,22
530,803,22
762,803,22
532,803,22
764,803,22
574,803,22
806,803,22
544,803,22
776,803,22
546,803,22
778,803,22
545,803,22
545,803,22
777,803,22
777,803,22
553,605,12
785,605,12
555,605,12
787,605,12
554,605,12
786,605,12
556,605,12
788,605,12
557,605,12
789,605,12
558,605,12
790,605,12
560,401,103
560,401,103
792,401,103
792,401,103
793,401,103
561,401,103
559,401,103
791,401,103
562,401,103
562,401,103
794,401,103
563,401,103
795,401,103
564,401,103
796,401,103
593,804,59
593,804,59
825,804,59
825,804,59
598,804,59
830,804,59
594,804,59
826,804,59
597,804,59
829,804,59
595,804,59
595,804,59
827,804,59
827,804,59
596,804,59
828,804,59
599,204,93
831,204,93
600,204,93
600,204,93
600,204,93
832,204,93
832,204,93
832,204,93
602,201,37
834,201,37
601,204,93
833,204,93
603,203,41
835,203,41
604,203,41
836,203,41
607,508,49
607,508,49
839,508,49
839,508,49
606,508,49
838,508,49
608,508,49
840,508,49
611,501,14
843,501,14
610,501,14
610,501,14
842,501,14
842,501,14
609,501,14
841,501,14
616,103,32
848,103,32
613,103,32
845,103,32
605,203,41
837,203,41
615,103,32
847,103,32
614,103,32
846,103,32
612,103,32
844,103,32
617,103,32
849,103,32
618,704,46
850,704,46
619,704,46
851,704,46
620,704,46
852,704,46
622,705,21
854,705,21
623,705,21
855,705,21
621,705,21
853,705,21
625,705,21
625,705,21
857,705,21
857,705,21
626,705,21
858,705,21
624,705,21
624,705,21
856,705,21
632,601,22
864,601,22
631,601,22
863,601,22
629,601,22
629,601,22
861,601,22
861,601,22
627,601,22
859,601,22
630,601,22
862,601,22
634,306,41
634,306,41
873,306,41
873,306,41
635,306,41
874,306,41
633,306,41
633,306,41
872,306,41
872,306,41
628,601,22
860,601,22
636,304,15
875,304,15
638,304,15
880,304,15
637,304,15
876,304,15
641,508,49
883,508,49
640,508,49
882,508,49
639,508,49
639,508,49
881,508,49
881,508,49
643,508,49
643,508,49
885,508,49
885,508,49
642,508,49
642,508,49
884,508,49
884,508,49
644,508,49
886,508,49
647,402,24
647,402,24
889,402,24
889,402,24
645,402,24
887,402,24
648,402,24
890,402,24
650,402,24
892,402,24
649,402,24
891,402,24
646,402,24
888,402,24
659,103,32
932,103,32
658,103,32
931,103,32
652,804,59
894,804,59
651,804,59
893,804,59
653,804,59
926,804,59
655,103,32
928,103,32
654,103,32
927,103,32
656,103,32
929,103,32
657,103,32
657,103,32
930,103,32
930,103,32
896,801,32
879,801,32
895,801,32
897,806,7
934,806,7
898,806,7
936,508,49
936,508,49
937,508,49
937,508,49
935,508,49
940,303,16
940,303,16
939,303,16
938,303,16
943,303,16
943,303,16
942,303,16
941,303,16
973,503,56
944,205,4
944,205,4
946,205,4
945,205,4
950,402,24
950,402,24
950,402,24
952,402,24
952,402,24
948,402,24
951,402,24
949,402,24
949,402,24
947,402,24
954,704,46
954,704,46
958,704,46
956,704,46
953,704,46
957,704,46
955,704,46
870,606,35
870,606,35
870,606,35
878,606,35
871,606,35
877,606,35
869,606,35
933,606,35
960,103,32
962,103,32
963,103,32
965,103,32
959,103,32
961,103,32
966,602,4
966,602,4
964,602,4
967,602,4
974,303,16
968,303,16
969,303,16
969,303,16
976,303,16
975,303,16
977,303,16
977,303,16
909,507,4
909,507,4
978,503,56
978,503,56
970,503,56
979,503,56
979,503,56
971,503,56
971,503,56
972,503,56
980,202,6
980,202,6
982,202,6
984,201,37
984,201,37
985,201,37
983,201,37
981,202,6
981,202,6
981,202,6
867,203,41
899,701,5
899,701,5
900,701,5
868,701,5
868,701,5
901,704,46
903,704,46
902,704,46
904,806,7
904,806,7
906,806,7
905,806,7
907,507,4
908,507,4
913,503,56
913,503,56
910,503,56
911,503,56
914,204,93
914,204,93
915,204,93
916,204,93
916,204,93
918,204,93
918,204,93
912,204,93
917,204,93
923,606,35
923,606,35
922,606,35
919,606,35
924,606,35
921,606,35
921,606,35
920,606,35
990,302,12
925,302,12
925,302,12
925,302,12
989,302,12
989,302,12
993,302,12
993,302,12
992,302,12
992,302,12
991,302,12
991,302,12
577,,6
809,,6
10,,6
160,,6
576,,6
808,,6
